KODE_BARANG,nama_barang,STOK,SATUAN,LOKASI,LAST_UPDATE
ASPEX0200019,ADAPTOR 80/165 ,4,SET,rak 1,13/01/2026
ASPEX0200021,ADAPTOR AX-TB289 I-220V O-9V ,10,PCS,rak 2,13/01/2026
ASPEX0200163,ANGLE SEAT VALVE DN32 316L ,2,PCS,rak 3,13/01/2026
ASPEX0200193,AS DRAT M 10 MM ,5,MTR,rak 4,13/01/2026
ASPEX0200194,AS DRAT M 12 MM ,7,Mtr,rak 5,13/01/2026
ASPEX0200199,AS DRAT M 16 MM (HITAM) ,10,MTR,rak 6,13/01/2026
ASPEX0200207,AS DRAT M 30 X 3.5 MM ,4,Mtr,rak 7,13/01/2026
ASPEX0200213,AS DRAT M 54 X 1300mm PITCH 8mm ,2,PCS,rak 8,13/01/2026
ASPEX0200241,AS SPIRAL ,10,PCS,rak 9,13/01/2026
ASPEX0200275,AUTO DRAIN DONALDSON D-42781 ,1,PCS,rak 10,13/01/2026
ASPEX0200281,AUTOSOL METAL POLISH 75 ML ,9,PCS,rak 11,13/01/2026
ASPEX0200291,AUXILARY SIEMEN 3TX/4010/2A NO ,5,Pcs,rak 12,13/01/2026
ASPEX0200334,BALL VALVE KITZ 1/2` ,87,Pcs,rak 13,13/01/2026
ASPEX0200370,BAND HEATER 120 X 90 220V 900W ,1,PCS,rak 14,13/01/2026
ASPEX0200371,BAND HEATER 120X120 220V ,2,SET,rak 15,13/01/2026
ASPEX0200382,BAND HEATER 150X80 380 V ,2,PCS,rak 16,13/01/2026
ASPEX0200386,BAND HEATER 165X100 380 V ,1,PCS,rak 17,13/01/2026
ASPEX0200399,BAND HEATER 200X110 380V ,2,SET,rak 18,13/01/2026
ASPEX0200400,BAND HEATER 200X120 380 V ,3,PCS,rak 19,13/01/2026
ASPEX0200401,BAND HEATER 200X155 380V ,1,PCS,rak 20,13/01/2026
ASPEX0200406,BAND HEATER 220X160 380V 2500W ,2,Pcs,rak 21,13/01/2026
ASPEX0200437,BAND HEATER 70X100 220V 550W ,2,SET,rak 22,13/01/2026
ASPEX0200438,BAND HEATER 70X260 220V 1700W ,1,SET,rak 23,13/01/2026
ASPEX0200446,BAND HEATER RS 140X80 380V ,2,SET,rak 24,13/01/2026
